Country/Region,Confirmed Cases,Deaths,Recovered
1/22/2020,0,0,0
1/23/2020,0,0,0
1/24/2020,0,0,0
1/25/2020,0,0,0
1/26/2020,0,0,0
1/27/2020,0,0,0
1/28/2020,0,0,0
1/29/2020,0,0,0
1/30/2020,1,0,0
1/31/2020,1,0,0
2/1/2020,1,0,0
2/2/2020,2,0,0
2/3/2020,3,0,0
2/4/2020,3,0,0
2/5/2020,3,0,0
2/6/2020,3,0,0
2/7/2020,3,0,0
2/8/2020,3,0,0
2/9/2020,3,0,0
2/10/2020,3,0,0
2/11/2020,3,0,0
2/12/2020,3,0,0
2/13/2020,3,0,0
2/14/2020,3,0,0
2/15/2020,3,0,0
2/16/2020,3,0,3
2/17/2020,3,0,3
2/18/2020,3,0,3
2/19/2020,3,0,3
2/20/2020,3,0,3
2/21/2020,3,0,3
2/22/2020,3,0,3
2/23/2020,3,0,3
2/24/2020,3,0,3
2/25/2020,3,0,3
2/26/2020,3,0,3
2/27/2020,3,0,3
2/28/2020,3,0,3
2/29/2020,3,0,3
3/1/2020,3,0,3
3/2/2020,5,0,3
3/3/2020,5,0,3
3/4/2020,28,0,3
3/5/2020,30,0,3
3/6/2020,31,0,3
3/7/2020,34,0,3
3/8/2020,39,0,3
3/9/2020,43,0,3
3/10/2020,56,0,4
3/11/2020,62,1,4
3/12/2020,73,1,4
3/13/2020,82,2,4
3/14/2020,102,2,4
3/15/2020,113,2,13
3/16/2020,119,2,13
3/17/2020,142,3,14
3/18/2020,156,3,14
3/19/2020,194,4,15
3/20/2020,244,5,20
3/21/2020,330,5,23
